sample_id,crop_label,N,P,K,pH,soil_moisture,temperature,humidity,rainfall,solar_radiation,elevation,irrigation,previous_crop
S1075721,maize,0.194,37.26,202.29,6.37,4.83,23.63,100.0,608.85,19.98,595.96,rainfed,vegetable
S1080184,rice,0.199,29.33,113.22,6.03,16.15,19.3,86.86,474.71,16.55,157.98,irrigated,maize
S1019864,maize,0.406,39.88,169.23,4.59,5.56,12.05,75.26,689.69,24.27,1933.7,rainfed,rice
S1076699,wheat,0.572,59.19,219.13,5.72,15.48,27.31,75.94,327.22,14.85,2020.48,rainfed,maize
S1092991,wheat,0.254,33.54,117.39,6.27,19.71,14.68,72.15,52.57,16.96,692.72,rainfed,vegetable
S1076434,rice,0.241,22.3,108.06,6.74,17.09,23.87,69.02,534.6,21.96,695.61,irrigated,pulses
S1084004,mustard,0.139,10.77,161.38,7.91,10.6,19.4,78.68,180.17,27.03,1638.35,rainfed,maize
S1080917,rice,0.31,54.11,209.59,6.12,1.36,13.82,41.41,191.5,22.94,1850.63,irrigated,rice
S1060767,barley,0.412,45.86,134.41,6.78,3.87,19.49,62.11,96.49,13.15,2027.22,rainfed,rice
S1050074,soybean,0.506,55.2,105.44,5.34,5.74,16.95,63.12,732.44,13.28,454.79,rainfed,rice
S1027701,rice,0.34,50.44,100.6,6.47,3.83,22.78,86.28,371.14,22.75,2431.39,irrigated,wheat
S1042141,lentil,0.291,21.91,288.55,7.14,2.67,22.93,46.11,348.74,14.28,964.19,irrigated,fallow
S1045080,sugarcane,0.102,41.07,132.41,8.99,8.46,1.05,77.15,482.36,13.67,1880.54,rainfed,maize
S1016638,lentil,0.237,32.76,306.13,6.56,15.52,12.45,52.51,78.12,21.29,871.24,irrigated,pulses
S1020424,mustard,0.511,43.85,122.48,7.93,8.49,16.14,95.62,355.23,17.61,2316.6,rainfed,rice
S1088702,wheat,0.327,59.84,248.35,6.25,8.95,6.57,53.51,107.89,10.54,2176.3,rainfed,maize
S1000149,rice,0.496,42.84,207.08,8.78,1.43,32.76,71.44,563.08,23.54,696.62,rainfed,vegetable
S1001761,millet,0.221,53.1,157.4,6.05,3.82,8.0,59.29,274.87,17.79,2110.89,rainfed,pulses
S1063120,sugarcane,0.428,31.8,188.17,4.55,14.75,1.6,59.38,206.9,16.11,1963.85,irrigated,maize
S1069161,millet,0.389,61.45,74.28,5.47,1.85,15.13,40.68,122.15,16.54,1331.11,rainfed,maize
S1064883,rice,0.426,36.59,178.03,6.34,13.53,27.76,50.23,213.83,21.74,433.23,rainfed,vegetable
S1002495,mustard,0.231,33.36,186.98,6.06,8.07,12.79,47.08,19.39,15.69,1230.81,rainfed,rice
S1080296,soybean,0.284,19.74,184.94,7.89,9.05,15.9,52.45,108.49,13.01,1109.53,rainfed,rice
S1019447,mustard,0.377,36.17,284.29,6.27,13.57,25.56,60.46,122.83,17.14,1304.46,rainfed,rice
S1041331,rice,0.481,60.89,206.89,6.73,14.49,21.95,48.17,94.12,17.55,120.57,irrigated,wheat
S1014888,soybean,0.368,29.82,192.13,6.07,16.42,5.68,45.89,334.23,20.67,2366.6,irrigated,fallow
S1088636,sugarcane,0.244,30.33,174.0,5.99,10.71,31.08,62.58,79.5,17.42,883.31,rainfed,vegetable
S1094892,rice,0.575,37.09,220.84,5.58,6.09,29.06,50.82,263.39,21.24,273.31,rainfed,maize
S1092731,wheat,0.407,16.93,157.15,5.78,11.04,20.05,67.67,272.2,19.45,1187.32,rainfed,wheat
S1029130,soybean,0.381,38.33,173.58,5.97,16.87,8.43,76.98,254.16,23.47,2241.08,irrigated,wheat
S1079022,mustard,0.384,57.18,177.33,5.43,10.08,19.68,78.68,372.11,12.7,2336.65,rainfed,wheat
S1084936,rice,0.138,31.92,138.57,6.13,7.62,24.42,66.19,128.98,14.95,383.19,rainfed,rice
S1016821,lentil,0.319,27.06,158.63,6.17,11.01,14.74,42.18,634.7,17.49,1318.6,rainfed,maize
S1036733,sugarcane,0.29,37.22,124.37,6.97,6.62,12.52,59.6,29.82,16.82,1303.44,rainfed,vegetable
S1015602,maize,0.423,49.03,217.04,7.43,6.4,15.51,86.78,208.68,13.11,1485.4,irrigated,rice
S1028533,mustard,0.469,37.44,155.84,6.83,11.21,19.34,47.54,387.5,12.03,1896.31,irrigated,maize
S1069769,soybean,0.343,22.19,204.82,5.6,13.31,30.27,68.5,551.78,17.88,982.4,rainfed,rice
